Case Status,Legislation,ICOCaseRef,Received Date,Received Year,Received FY,Received Qtr,Received FY Month,Completed Date,Completed Year,Completed FY,Completed Qtr,FY Completed Month,Sector,SubSector,Submitted About Account,Decision,DecisionDetail1,DecisionDetail2,ISCyberIncident
Completed,GDPR,IC-353684-T9Z1,06/01/2025,2025,2024/25,Q4,10-Jan,06/01/2025,2025,2024/25,Q4,10-Jan,Education and childcare,Maintained schools,Allington with Sedgebrook C of E Primary School,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353248-M1L1,27/12/2024,2024,2024/25,Q3,09-Dec,06/01/2025,2025,2024/25,Q4,10-Jan,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Angus Council,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353612-S8Z3,06/01/2025,2025,2024/25,Q4,10-Jan,06/01/2025,2025,2024/25,Q4,10-Jan,"Finance, insurance and credit",Unassigned,Armstrong Watson,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,Hybrid,IC-349917-H9T9,09/12/2024,2024,2024/25,Q3,09-Dec,06/01/2025,2025,2024/25,Q4,10-Jan,Land or property services,Estate agency / letting agency,Benjamin Stevens Estate Agents Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353701-P4H8,06/01/2025,2025,2024/25,Q4,10-Jan,06/01/2025,2025,2024/25,Q4,10-Jan,"Finance, insurance and credit",Financial services and advice,"Cb Payments, Ltd",Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-352792-T6C2,20/12/2024,2024,2024/25,Q3,09-Dec,06/01/2025,2025,2024/25,Q4,10-Jan,Justice,Police Forces,Chief Constable North Yorkshire Police,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353520-C2R4,05/01/2025,2025,2024/25,Q4,10-Jan,06/01/2025,2025,2024/25,Q4,10-Jan,Education and childcare,Private schools,Christ's Hospital,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353596-S6W9,03/01/2025,2025,2024/25,Q4,10-Jan,06/01/2025,2025,2024/25,Q4,10-Jan,Health,Secondary care,Circle Clinical Services Ltd,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353764-H6V0,06/01/2025,2025,2024/25,Q4,10-Jan,06/01/2025,2025,2024/25,Q4,10-Jan,General business,Business advice and consultancy,Compass Resolution Ltd,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353529-F2S8,03/01/2025,2025,2024/25,Q4,10-Jan,06/01/2025,2025,2024/25,Q4,10-Jan,Legal,Legal professionals,Davisons Solicitors Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-351711-W6Y0,17/12/2024,2024,2024/25,Q3,09-Dec,06/01/2025,2025,2024/25,Q4,10-Jan,Transport and leisure,Passenger transport,Elite Project Services Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,Hybrid,IC-351835-R5R6,18/12/2024,2024,2024/25,Q3,09-Dec,06/01/2025,2025,2024/25,Q4,10-Jan,Health,General Practitioner,Fairhill Medical Practice,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353489-H8H1,03/01/2025,2025,2024/25,Q4,10-Jan,06/01/2025,2025,2024/25,Q4,10-Jan,Legal,Unassigned,Hayes + Storr Solicitors,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-325860-Q8Y7,14/08/2024,2024,2024/25,Q2,05-Aug,06/01/2025,2025,2024/25,Q4,10-Jan,Central Government,Government Department,HM Revenue and Customs (HMRC),Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Not Provided
Completed,GDPR,IC-352811-P6T5,20/12/2024,2024,2024/25,Q3,09-Dec,06/01/2025,2025,2024/25,Q4,10-Jan,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Kirklees Metropolitan Council,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353352-Q7P2,02/01/2025,2025,2024/25,Q4,10-Jan,06/01/2025,2025,2024/25,Q4,10-Jan,Local government,County Council,Leicestershire County Council,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-352741-W3H3,20/12/2024,2024,2024/25,Q3,09-Dec,06/01/2025,2025,2024/25,Q4,10-Jan,Charitable and voluntary,Local charities,Lifecraft,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-351290-V1L3,13/12/2024,2024,2024/25,Q3,09-Dec,06/01/2025,2025,2024/25,Q4,10-Jan,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Luton Borough Council,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-351707-Q6B7,17/12/2024,2024,2024/25,Q3,09-Dec,06/01/2025,2025,2024/25,Q4,10-Jan,Local government,"Parish, community and town councils",Melksham Town Council,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353648-H9J3,06/01/2025,2025,2024/25,Q4,10-Jan,06/01/2025,2025,2024/25,Q4,10-Jan,Health,General Practitioner,Newbridge Surgery,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
