Case Status,Legislation,ICOCaseRef,Received Datetime,Received Year,Received FY,Received Qtr,Received FY Month,Completed Date,Completed Year,Completed FY,Completed Qtr,FY Completed Month,Completed Financial Week,Sector,SubSector,Submitted About Account,Decision,DecisionDetail1,DecisionDetail2,ISCyberIncident
Completed,GDPR,IC-314288-G6X1,18/06/2024,2024,2024/25,Q1,03-Jun,03/07/2024,2024,2024/25,Q2,04-Jul,14,Education and childcare,Higher education,Dulwich College,No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-310690-R8R6,31/05/2024,2024,2024/25,Q1,02-May,03/07/2024,2024,2024/25,Q2,04-Jul,14,Education and childcare,Maintained schools,Earlview Primary School and Nursery,No Further Action,No action,Report withdrawn,No
Completed,GDPR,IC-316900-K8W3,01/07/2024,2024,2024/25,Q2,04-Jul,03/07/2024,2024,2024/25,Q2,04-Jul,14,Retail and manufacture,Manufacturing,GKN Aerospace Services Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-314154-T9T3,18/06/2024,2024,2024/25,Q1,03-Jun,03/07/2024,2024,2024/25,Q2,04-Jul,14,Legal,Legal professionals,Hallett & Co,No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-314640-D8J0,20/06/2024,2024,2024/25,Q1,03-Jun,03/07/2024,2024,2024/25,Q2,04-Jul,14,Land or property services,Housing association,Halliwell Homes Ltd,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-317141-Q5D4,02/07/2024,2024,2024/25,Q2,04-Jul,03/07/2024,2024,2024/25,Q2,04-Jul,14,Education and childcare,Community School,HARVEY ROAD PRIMARY SCHOOL,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316112-Q7L0,26/06/2024,2024,2024/25,Q1,03-Jun,03/07/2024,2024,2024/25,Q2,04-Jul,14,Education and childcare,Maintained schools,Healdswood Infant & Nursery School,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-317144-S4K4,02/07/2024,2024,2024/25,Q2,04-Jul,03/07/2024,2024,2024/25,Q2,04-Jul,14,Education and childcare,Academy and Free Schools,Insignis Academy Trust,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316355-Q5S3,27/06/2024,2024,2024/25,Q1,03-Jun,03/07/2024,2024,2024/25,Q2,04-Jul,14,Online Technology and Telecoms,Software developers,"IsoMetrix USA, Inc",No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-314184-M4D9,18/06/2024,2024,2024/25,Q1,03-Jun,03/07/2024,2024,2024/25,Q2,04-Jul,14,Health,General Practitioner,Kirkham Health Centre,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316331-C2C2,28/06/2024,2024,2024/25,Q1,03-Jun,03/07/2024,2024,2024/25,Q2,04-Jul,14,Land or property services,Estate agency / letting agency,Knight Frank LLP,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316594-V7L9,28/06/2024,2024,2024/25,Q1,03-Jun,03/07/2024,2024,2024/25,Q2,04-Jul,14,Charitable and voluntary,National charities,Libraries Unlimited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
